id,gender,masterCategory,subCategory,baseColour,season,usage,productDisplayName,,
15970,Men,Apparel,Topwear,Navy Blue,Fall,Casual,Turtle Check Men Navy Blue Shirt,,
39386,Men,Apparel,Bottomwear,Blue,Summer,Casual,Peter England Men Party Blue Jeans,,
59263,Women,Accessories,Watches,Silver,Winter,Casual,Titan Women Silver Watch,,
21379,Men,Apparel,Bottomwear,Black,Fall,Casual,Manchester United Men Solid Black Track Pants,,
53759,Men,Apparel,Topwear,Grey,Summer,Casual,Puma Men Grey T-shirt,,
1855,Men,Apparel,Topwear,Grey,Summer,Casual,Inkfruit Mens Chain Reaction T-shirt,,
30805,Men,Apparel,Topwear,Green,Summer,Ethnic,Fabindia Men Striped Green Shirt,,
26960,Women,Apparel,Topwear,Purple,Summer,Casual,Jealous 21 Women Purple Shirt,,
29114,Men,Accessories,Socks,Navy Blue,Summer,Casual,Puma Men Pack of 3 Socks,,
30039,Men,Accessories,Watches,Black,Winter,Casual,Skagen Men Black Watch,,
9204,Men,Footwear,Shoes,Black,Summer,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,,
48123,Women,Accessories,Belts,Black,Summer,Casual,Fossil Women Black Huarache Weave Belt,,
18653,Men,Footwear,Flip Flops,Black,Fall,Casual,Fila Men Cush Flex Black Slippers,,
47957,Women,Accessories,Bags,Blue,Summer,Casual,Murcia Women Blue Handbag,,
46885,Boys,Footwear,Flip Flops,Navy Blue,Fall,Casual,Ben 10 Boys Navy Blue Slippers,,
12369,Men,Apparel,Topwear,Purple,Fall,Formal,Reid & Taylor Men Check Purple Shirts,,
29928,Men,Accessories,Watches,Black,Winter,Casual,Police Men Black Dial Watch PL12889JVSB,,
42419,Girls,Apparel,Topwear,White,Summer,Casual,Gini and Jony Girls Knit White Top,,
51832,Women,Apparel,Innerwear,Beige,Summer,Casual,Bwitch Beige Full-Coverage Bra BW335,,
47359,Women,Accessories,Bags,Brown,Summer,Casual,Baggit Women Brown Handbag,,
17429,Men,Accessories,Watches,Black,Winter,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,,
12967,Men,Footwear,Sandal,Black,Fall,Casual,ADIDAS Men Spry M Black Sandals,,
6842,Unisex,Accessories,Shoe Accessories,Black,Summer,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,,
13089,Men,Apparel,Topwear,Grey,Fall,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,,
18461,Men,Personal Care,Fragrance,White,Spring,Casual,David Beckham Signature Men Deos,,
9036,Men,Footwear,Shoes,Black,Winter,Formal,Buckaroo Men Flores Black Formal Shoes,,
48311,Women,Accessories,Jewellery,Bronze,Winter,Casual,Pitaraa Women Bronze Beaded Bracelet,,
7990,Men,Apparel,Topwear,Navy Blue,Fall,Sports,Fila Men's Round Neck Navy Blue T-shirt,,
56019,Women,Personal Care,Lips,Brown,Spring,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,,
21977,Women,Accessories,Bags,Brown,Winter,Casual,Murcia Women Casual Brown Handbag,,
37812,Men,Apparel,Topwear,Navy Blue,Summer,Formal,John Players Men Navy Blue Shirt,,
4729,Boys,Apparel,Topwear,Green,Summer,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,,
56825,Men,Apparel,Topwear,Brown,Summer,Casual,John Players Men Brown Shirt,,
39988,Men,Footwear,Shoes,White,Winter,Casual,Gas Men Europa White Shoes,,
59051,Women,Footwear,Shoes,Black,Winter,Casual,Carlton London Women Black & Gold Toned Flats,,
20099,Women,Apparel,Topwear,Green,Fall,Ethnic,Diva Women Embroided Green Kurta,,
58183,Women,Accessories,Bags,White,Summer,Casual,Rocky S Women White Handbag,,
29742,Women,Accessories,Bags,Teal,Summer,Casual,Kiara Women Teal Handbag,,
51658,Women,Accessories,Watches,Copper,Winter,Casual,Fossil Women Copper Chronograph Watch CH2589,,
3954,Women,Apparel,Topwear,Pink,Summer,Casual,Jealous 21 Women's Pink T-shirt,,
18839,Men,Accessories,Belts,Black,Fall,Formal,Peter England Men Formal Black Belt,,
2886,Women,Footwear,Shoes,Brown,Winter,Casual,Catwalk Women Leather Brown Flats,,
23278,Men,Accessories,Watches,Off White,Winter,Casual,Maxima Ssteele Men Off White Watch,,
28690,Women,Apparel,Topwear,Beige,Summer,Ethnic,W Women Printed Beige Kurta,,
8580,Men,Apparel,Topwear,Grey,Fall,Casual,Scullers Men  Grey Waistcoat,,
3168,Men,Footwear,Shoes,White,Fall,Sports,Nike Men's Incinerate MSL White Blue Shoe,,
18005,Men,Apparel,Bottomwear,Black,Summer,Sports,Puma Men Long Logo Black Bermuda,,
17871,Men,Apparel,Innerwear,Maroon,Winter,Casual,Levis Men Boxer Maroon Brief,,
9452,Men,Apparel,Topwear,Red,Fall,Formal,John Miller Men Stripes White Red Shirts,,
38402,Women,Accessories,Belts,Black,Summer,Casual,Baggit Women Hood Dabang Black Belt,,
44984,Women,Accessories,Watches,White,Winter,Casual,Maxima Women White Dial Watch,,
10268,Men,Footwear,Shoes,Black,Fall,Formal,Clarks Men Hang Work Leather Black Formal Shoes,,
45856,Women,Apparel,Topwear,Brown,Summer,Ethnic,Vishudh Women Brown Kurta,,
32138,Men,Apparel,Innerwear,Blue,Summer,Casual,Playboy Men Blue Titanium Briefs,,
59435,Men,Footwear,Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes,,
5891,Men,Apparel,Topwear,Black,Summer,Casual,Puma Men's Stripe Polo Black T-shirt,,
38630,Women,Apparel,Topwear,Purple,Summer,Casual,Nike Women Purple Polo T-shirt,,
4943,Men,Apparel,Topwear,White,Summer,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,,
11188,Men,Accessories,Watches,Silver,Winter,Casual,Carrera Men Dial steel finish strap Silver Watches,,
10866,Men,Apparel,Topwear,Red,Fall,Casual,Wrangler Men Motor Rider Red T-Shirts,,
59607,Women,Apparel,Saree,Grey,Fall,Ethnic,FNF Pink & Grey Wedding Collection Sari,,
15528,Men,Apparel,Topwear,Black,Fall,Casual,Puma Men Scribble Black Tshirts,,
45258,Men,Accessories,Watches,Black,Winter,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,,
42841,Women,Accessories,Bags,Beige,Summer,Casual,French Connection Women Beige Handbag,,
22198,Men,Footwear,Shoes,Black,Fall,Casual,Timberland Men Black Casual Shoes,,
29570,Men,Footwear,Shoes,Purple,Summer,Casual,Vans Men Classic Slip-On Purple & Black Shoes,,
43993,Women,Personal Care,Fragrance,Pink,Spring,Casual,Police Women Passion Perfume,,
6628,Men,Footwear,Shoes,White,Summer,Sports,ADIDAS Men's Lowell White Silver Shoe,,
54924,Men,Apparel,Bottomwear,Blue,Summer,Casual,Do U Speak Green Men Blue Shorts,,
26538,Men,Footwear,Shoes,Red,Fall,Casual,ID Men Red Shoes,,
35913,Women,Accessories,Bags,Black,Summer,Casual,Peperone Women Black & White Handbag,,
49495,Men,Footwear,Shoes,Khaki,Summer,Casual,Vans Men Khaki Shoes,,
9660,Men,Apparel,Topwear,Pink,Fall,Casual,Indigo Nation Men Reversible Bling Pink Shirts,,
2288,Women,Apparel,Topwear,Black,Fall,Sports,Nike Women Black T-shirt,,
23876,Men,Apparel,Topwear,Blue,Fall,Casual,ADIDAS Men Blue Sweatshirt,,
18237,Men,Apparel,Topwear,Red,Fall,Casual,Manchester United Men Solid Red Tshirt,,
54118,Women,Footwear,Shoes,Black,Winter,Casual,Rocia Women Black Flats,,
2872,Women,Footwear,Shoes,Brown,Winter,Casual,Catwalk Women Leather Flats,,
49653,Women,Apparel,Topwear,Green,Summer,Casual,Mineral Women Green Top,,
8574,Women,Footwear,Sandal,Pink,Fall,Casual,Crocs Dora Boots Pink Sandals,,
16957,Men,Accessories,Eyewear,Black,Winter,Casual,Image Men Sunglasses,,
19123,Men,Footwear,Flip Flops,Silver,Fall,Casual,Lotto Men XL Water Man Silver Slippers,,
13419,Men,Apparel,Topwear,Pink,Summer,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,,
17885,Men,Apparel,Innerwear,Grey,Summer,Casual,Levis Men Comfort Style Grey Innerwear Vest,,
43369,Men,Footwear,Flip Flops,Black,Summer,Casual,Reebok Men Black Possession Flip Flops,,
48781,Women,Accessories,Jewellery,Silver,Summer,Casual,Lucera Women Silver Pendant,,
44970,Men,Accessories,Watches,White,Winter,Casual,Maxima Men White Dial Analog Chronograph Watch,,
56489,Women,Personal Care,Nails,Bronze,Spring,NA,Streetwear Ash Nail Polish # 31,,
39524,Unisex,Accessories,Bags,Orange,Summer,Casual,Peter England Unisex Orange Sleeve Bag,,
33822,Men,Footwear,Shoes,White,Summer,Sports,Puma Men Axis White & Grey Sports Shoes,,
58513,Women,Apparel,Topwear,Off White,Summer,Casual,Tonga Women Maroon Top,,
25947,Women,Accessories,Scarves,Brown,Summer,Casual,Femella Women Brown Scarf,,
52029,Unisex,Apparel,Topwear,Coffee Brown,Summer,NA,Just Natural Unisex Charcoal Rain Jacket,,
5865,Men,Apparel,Topwear,Black,Summer,Casual,ADIDAS Men's Twelve Faster T-shirt,,
